Year,Month,Source,Quantity(MT),Value(Lakh),PUV(Rs/MT)
2014,April,DGCIS,127461.2,13656.6,10714.3
2014,May,DGCIS,137614.68,18160.99,13196.9
2014,June,DGCIS,127327.93,18351.43,14412.7
2014,July,DGCIS,60252.69,15606.91,25902.4
2014,August,DGCIS,58891.37,16101.73,27341.4
2014,September,DGCIS,78353.02,16274.36,20770.5
2014,October,DGCIS,78489,15765.06,20085.6
2014,November,DGCIS,65107.81,13178.28,20240.7
2014,December,DGCIS,42793.43,9379.45,21917.9
2015,January,DGCIS,112380.95,23323.89,20754.3
2015,February,DGCIS,81769.99,17264.01,21112.8
2015,March,DGCIS,115629.78,23931.82,20696.9
2015,April,DGCIS,117377.22,22189.66,18904.5
2015,May,DGCIS,118507.11,22280.43,18800.9
2015,June,DGCIS,103518.22,21760.24,21020.6
2015,July,DGCIS,77002.03,21281.17,27637.1
2015,August,DGCIS,42693.41,14548.01,34075.5
2015,September,DGCIS,26832.52,13006.69,48473.6
2015,October,DGCIS,23353.65,10864.46,46521.4
2015,November,DGCIS,65939.09,30349.01,46025.8
2015,December,DGCIS,120008.07,39880.66,33231.6
2016,January,DGCIS,133425.37,20010.03,14997.1
2016,February,DGCIS,151909.55,20038.84,13191.2
2016,March,DGCIS,133851.89,16660.29,12446.8
2016,April,DGCIS,142767.95,17354.91,12156
2016,May,DGCIS,166035.85,19783.44,11915.1
2016,June,DGCIS,278672.29,35002.5,12560.4
2016,July,DGCIS,200781.27,25643.18,12771.6
2016,August,DGCIS,275685.25,34442.41,12493.3
2016,September,DGCIS,292438.87,43073.66,14729.1
2016,October,DGCIS,278438.04,44891.23,16122.5
2016,November,DGCIS,376163.36,60706.25,16138.2
2016,December,DGCIS,388839.6,57692.04,14836.9
2017,January,DGCIS,320741.62,41416.21,12912.6
2017,February,DGCIS,348070.04,39524.09,11355.2
2017,March,DGCIS,424084.1,45642.33,10762.5
2017,April,DGCIS,320943.85,38029.54,11849.2
2017,May,DGCIS,378809.13,43235.77,11413.6
