Month-Year,Brent,Dubai,Indian-Basket,Oman,WTI
May-2009,57.48,57.85,58.00,57.96,59.45
April-2009,50.34,50.10,50.16,50.16,49.82
March-2009,46.55,45.59,46.02,45.83,48.00
February-2009,43.07,43.09,43.22,43.52,39.16
January-2009,43.59,44.12,44.00,44.45,41.80
December-2008,40.35,40.53,40.61,40.99,41.45
November-2008,52.51,49.84,50.91,50.04,57.41
October-2008,71.87,67.42,69.12,67.96,76.54
September-2008,98.13,95.90,96.81,96.13,103.61
August-2008,113.03,112.86,113.05,113.28,116.58
July-2008,133.18,131.27,132.47,132.81,133.30
June-2008,132.44,127.82,129.72,128.32,133.89
May-2008,122.73,119.50,120.91,119.80,125.48
April-2008,108.97,103.41,105.77,104.09,112.64
March-2008,103.66,96.76,99.76,97.86,105.46
February-2008,95.04,90.02,92.37,90.68,95.40
January-2008,92.00,87.37,89.52,88.55,92.98
December-2007,90.98,85.58,87.92,86.44,91.39
November-2007,92.61,86.87,89.11,87.07,94.74
October-2007,82.50,77.12,79.33,77.55,85.87
September-2007,76.87,73.36,74.78,73.56,79.98
August-2007,73.18,68.65,70.99,68.34,72.37
July-2007,77.01,69.49,72.69,70.09,74.10
June-2007,77.01,65.79,68.19,66.08,67.44
May-2007,67.23,64.61,65.79,65.05,63.40
April-2007,67.51,63.97,65.54,64.45,63.84
March-2007,62.15,58.80,60.26,59.19,60.63
February-2007,57.43,55.75,56.49,55.96,59.20
January-2007,53.68,51.69,52.62,52.14,54.17
December-2006,62.32,58.68,60.34,59.34,61.96
November-2006,58.92,56.72,57.79,57.36,58.82
October-2006,57.80,56.42,57.27,57.38,58.82
September-2006,61.71,59.82,61.04,61.01,63.74
August-2006,73.11,68.77,70.84,69.97,73.01
July-2006,73.66,69.17,71.36,70.22,74.40
June-2006,68.69,65.22,66.95,66.17,70.88
May-2006,69.83,65.00,67.41,66.30,70.87
April-2006,70.16,64.06,67.02,65.54,69.46
March-2006,62.10,57.82,60.01,59.19,62.82
February-2006,60.12,57.61,58.95,58.61,61.57
January-2006,63.05,58.44,60.54,59.26,65.44
December-2005,56.91,53.20,55.05,54.19,59.41
November-2005,55.18,51.39,53.14,52.52,58.27
October-2005,58.61,53.96,56.28,55.23,62.28
September-2005,62.91,56.54,59.91,58.35,65.52
August-2005,64.12,56.60,60.02,57.52,64.96
July-2005,57.58,52.83,55.01,53.46,58.58
June-2005,54.39,51.08,52.72,51.95,56.35
May-2005,48.56,45.40,47.02,46.41,49.79
April-2005,51.82,47.20,49.43,48.19,53.09
March-2005,52.91,45.84,49.27,47.21,54.27
February-2005,45.37,39.87,42.58,41.08,47.94
January-2005,44.23,37.92,41.00,39.19,47.04
December-2004,39.53,34.20,36.65,35.44,43.20
November-2004,42.84,34.87,38.82,36.69,48.44
October-2004,49.64,37.54,43.37,39.75,53.24
September-2004,43.25,35.55,39.15,36.55,45.90
August-2004,43.04,38.55,40.53,38.73,44.90
July-2004,38.32,34.65,36.35,35.08,42.83
June-2004,35.04,33.43,34.22,33.79,38.00
May-2004,37.80,34.74,36.09,34.87,40.24
April-2004,33.25,31.68,32.36,31.71,36.69
